Agentur	Agenturen
Akademie	Akademien
Aktivität	Aktivitäten
Analyse	Analysen
Anwendung	Anwendungen
Armee	Armeen
Behörde	Behörden
Beispiel	Beispiele
Bereich	Bereiche
Bibliothek	Bibliotheken
Ding	Dinge
Eigenschaft	Eigenschaften
Einrichtung	Einrichtungen
Eintrag	Einträge
Energie	Energien
Ereignis	Ereignisse
Erfolg	Erfolge
Familie	Familien
Fluss	Flüsse
Frau	Frauen
Freund	Freunde
Fähigkeit	Fähigkeiten
Geschichte	Geschichten
Gesellschaft	Gesellschaften
Gesetz	Gesetze
Industrie	Industrien
Jahr	Jahre
Monat	Monate
Möglichkeit	Möglichkeiten
Nacht	Nächte
Problem	Probleme
Produkt	Produkte
Richtlinie	Richtlinien
Serie	Serien
Sicherheit	Sicherheiten
Stadt	Städte
Strategie	Strategien
Straße	Straßen
Student	Studenten
System	Systeme
Tag	Tage
Tatsache	Tatsachen
Technologie	Technologien
Theorie	Theorien
Universität	Universitäten
Unterschied	Unterschiede
Verantwortung	Verantwortungen
Verlust	Verluste
Wirtschaft	Wirtschaften
Woche	Wochen
