Abteilung	Abteilungen
Album	Alben
Auto	Autos
Basis	Basen
Bett    Betten
Büro	Büros
College	Colleges
Direktor	Direktoren
Dorf	Dörfer
Entwicklung	Entwicklungen
Firma	Firmen
Formel	Formeln
Gans	Gänse
Globus	Globen
Gott	Götter
Haus	Häuser
Herr    Herren
Idee	Ideen
Jahrhundert	Jahrhunderte
Kaktus	Kakteen
Kategorie	Kategorien
Kind	Kinder
Kino	Kinos
Koch	Köche
Komma	Kommas
Kunde	Kunden
Land	Länder
Lied	Lieder
Lob	Lobe
Lösung	Lösungen
Marke	Marken
Mehrheit	Mehrheiten
Mund	Münder
Museum	Museen
Muskel	Muskeln
Naturwissenschaft	Naturwissenschaften
Periode	Perioden
Pflicht	Pflichten
Pizza	Pizzas
Radio	Radios
Rat	Räte
Regierung	Regierungen
Ressource	Ressourcen
Rolle	Rollen
Sprach	Sprachen
Studie	Studien
Tod	Tode
Vater	Väter
Version	Versionen
Website	Websites
