beängstigend	beängstigender
billig	billiger
böse	böser
dicht	dichter
dumm	dümmer
dünn	dünner
faul	fauler
feucht	feuchter
fröhlich	fröhlicher
gesund	gesünder
glücklich	glücklicher
grob	gröber
groß	größer
handlich	handlicher
hart	härter
heftig	heftiger
heiß	heißer
hungrig	hungriger
hässlich	hässlicher
hart	härter
höflich	höflicher
klebrig	klebriger
klein	kleiner
klug	klüger
knifflig	kniffliger
komisch	komischer
lang	länger
laut	lauter
lecker	leckerer
mild	milder
ordentlich	ordentlicher
reich	reicher
rein	reiner
riesig	riesiger
riskant	riskanter
schwach	schwächer
schön	schöner
seltsam	seltsamer
sonnig	sonniger
stark	stärker
stolz	stolzer
streng	strenger
subtil	subtiler
süß	süßer
teuer	teurer
traurig	trauriger
verrückt	verrückter
wahnsinnig	wahnsinniger
winzig	winziger
wütend	wütender
