ärmlich	ärmlichste
billig	billigste
böse	böseste
dicht	dichteste
dumm	dümmste
dünn	dünnste
faul	faulste
fröhlich	fröhlichste
fähig	fähigste
gering	geringste
gesund	gesündeste
glänzend	glänzendste
glücklich	glücklichste
grausam	grausamste
groß	größte
gruselig	gruseligste
gut	beste
handlich	handlichste
hart	härteste
heftig	heftigste
heiß	heißeste
hässlich	hässlichste
höflich	höflichste
kalt	kälteste
klein	kleinste
klug	klügste
knifflig	kniffligste
lang	längste
laut	lauteste
lecker	leckerste
lustig	lustigste
mild	mildeste
ordentlich	ordentlichste
reich	reichste
rein	reinste
schlecht	schlechteste
schwach	schwächste
schön	schönste
selten	seltenste
sonnig	sonnigste
stark	stärkste
streng	strengste
subtil	subtilste
süß	süßeste
teuer	teuerste
traurig	traurigste
unhöflich	unhöflichste
viel meisten
winzig	winzigste
wütend	wütendste
