akzeptieren	akzeptiert
auftreten	auftritt
beinhalten	beinhaltet
benutzen	benutzt
beschreiben	beschreibt
bestehen	besteht
betrachten	betrachtet
beziehen	bezieht
bieten	bietet
bleiben	bleibt
empfangen	empfängt
enthalten	enthält
entwickeln	entwickelt
erfordern	erfordert
erinnern	erinnert
erklären	erklärt
erlauben	erlaubt
erreichen	erreicht
erscheinen	erscheint
erstellen	erstellt
erzählen	erzählt
existieren	existiert
folgen	folgt
fragen	fragt
fördern	fördert
gehen	geht
gelten	gilt
genießen	genießt
glauben	glaubt
hören	hört
identifizieren	identifiziert
lernen	lernt
lesen	liest
operieren	operiert
passieren	passiert
pflegen	pflegt
reduzieren	reduziert
repräsentieren	repräsentiert
scheinen	scheint
schützen	schützt
sehen	sieht
senden	sendet
sprechen	spricht
stellen	stellt
stehen	steht
verbessern	verbessert
verhindern	verhindert
vermeiden	vermeidet
verstehen	versteht
werden	wird
