anbieten	anbietend
arbeiten	arbeitend
auftauchen	auftauchend
aussehen	aussehend
benötigen	benötigend
benützen	benützend
beschützen	beschützend
bewerben	bewerbend
bleiben	bleibend
einbeziehen	einbeziehend
einbiegen	einbiegend
enthalten	enthaltend
entwickeln	entwickelnd
erhalten	erhaltend
erinnern	erinnernd
erlauben	erlaubend
ermutigen	ermutigend
erreichen	erreichend
erschaffen	erschaffend
erwarten	erwartend
erwägen	erwägend
erzählen	erzählend
existieren	existierend
folgen	folgend
fragen	fragend
fördern	fördernd
genießen	genießend
glauben	glaubend
hinzufügen	hinzufügend
hören	hörend
identifizieren	identifizierend
kümmern	kümmernd
leisten	leistend
lernen	lernend
managen	managend
nehmen	nehmend
passieren	passierend
reduzieren	reduzierend
sehen	sehend
siedeln	siedelnd
sitzen	sitzend
teilnehmen	teilnehmend
treten	tretend
unterrichten	unterrichtend
verbessern	verbessernd
verbringen	verbringend
vermeiden	vermeidend
verstehen	verstehend
vertreten	vertretend
verweisen	verweisend
