akzeptieren	akzeptiert
ankündigen	angekündigt
anwenden	angewendet
ausgeben	ausgegeben
beschreiben	beschrieben
besuchen	besucht
beteiligt   einbeziehen
bleiben geblieben
durchführen	durchgeführt
einführen	eingeführt
entdecken	entdeckt
entscheiden	entschieden
entstehen	entstanden
entwickeln	entwickelt
erlauben	erlaubt
erreichen	erreicht
erscheinen	erschienen
ersetzen	ersetzt
erstellen	erstellt
erwarten	erwartet
erzählen	erzählt
etablieren	etabliert
finden	gefunden
folgen	gefolgt
fragen	gefragt
genießen	genossen
glauben	geglaubt
heiraten	heiratet
hinzufügen	hinzugefügt
hoffen	gehofft
hören	gehört
identifizieren	identifiziert
mangeln	gemangelt
nehmen	genommen
reduzieren	reduziert
scheinen	schien
sehen	gesehen
senden	gesendet
sicherstellen	sichergestellt
stellen	gestellt
teilnehmen	teilgenommen
verbessern	verbessert
vereinigen	vereinigt
verlieren	verloren
verstehen	verstanden
verwalten	verwaltet
verweisen	verwiesen
veröffentlichen	veröffentlicht
werden	geworden
zustimmen	zugestimmt
