beinhaltend	beinhaltet
bereitstellend	bereitgestellt
beschreibend	beschreibt
betreibend	betreibt
beziehend	bezieht
bleibend	bleibt
brüllend	brüllt
dankend	dankt
denkend	denkt
entdeckend	entdeckt
enthaltend	enthält
entwickelnd	entwickelt
erscheinend	erscheint
erzählend	erzählt
existierend	existiert
folgend	folgt
fragend	fragt
fördernd	fördert
fühlend	fühlt
führend	führt
gehend	geht
gehörend	gehört
glaubend	glaubt
hoffend	hofft
hörend	hört
kaufend	kauft
legend	legt
lernend	lernt
machend	macht
nehmend	nimmt
repräsentierend	repräsentiert
schaffend	schafft
scheinend	scheint
sehend	sieht
sitzend	sitzt
sprechend	spricht
stehend	steht
treffend	trifft
tretend	tritt
verbessernd	verbessert
verkaufend	verkauft
verlierend	verliert
vermutend	vermutet
verstehend	versteht
verwaltend	verwaltet
verweisend	verweist
veröffentlichend	veröffentlicht
werbend	wirbt
werdend	wird
ziehend	zieht
