ankündigend	angekündigt
anwendend	angewandt
ausgebend	ausgegeben
belegend	belegt
bereitstellend	bereitgestellt
beschließend	beschlossen
beschreibend	beschrieben
besuchend	besucht
beteiligend	beteiligt
betrachtend	betrachtet
betreibend	betrieben
bleibend	geblieben
denkend	gedenkt
durchführend	durchgeführt
einführend	eingeführt
empfangend	empfangen
enthaltend	enthalten
entwickelnd	entwickelt
ernennend	ernannt
erscheinend	erschienen
ersetzend	ersetzt
erstellend	erstellt
erwartend	erwartet
erzählend	erzählt
existierend	existiert
folgend	gefolgt
fortsetzend	fortgesetzt
fragend	gefragt
gelingend	gelungen
gründend	gegründet
hinzufügend	hinzugefügt
hoffend	gehofft
hörend	gehört
lehrend	gelehrt
reduzierend	reduziert
repräsentierend	repräsentiert
scheiternd	gescheitert
sehend	gesehen
sendend	gesendet
sprechend	gesprochen
verbessernd	verbessert
verbindend	verbündet
verbündend	verbunden
verheiratend	verheiratet
verlobend	verlobt
versandend	versendet
verstehend	verstanden
veröffentlichend	veröffentlicht
vorschlagend	vorgeschlagen
werdend	geworden
