arbeitet	gearbeitet
auftritt	aufgetreten
beschreibt	beschrieben
besteht	bestanden
betriebt	betrieben
bezieht	bezogen
bietet	geboten
bittet	gebeten
bleibt	geblieben
bringt	gebracht
brüllt	gebrüllt
empfängt	empfangen
entfernt    entfernen
enthält	enthalten
entscheidet	entschieden
findet	gefunden
folgt	gefolgt
fragt	gefragt
führt	geführt
geht	gegangen
gibt	gegeben
gilt	gegolten
glaubt	geglaubt
hat	gehabt
heiratet	geheiratet
hofft	gehofft
hört	gehört
isst	gegessen
ist	gewesen
klagt	geklagt
kündigt	gekündigt
lautet	gelautet
nimmt	genommen
nähert	genähert
ordnet	geordnet
prüft	geprüft
scheint	geschienen
schlägt	geschlagen
schreibt	geschrieben
sendet	gesendet
sieht	gesehen
steht	gestanden
stellt	gestellt
trinkt	getrunken
unternimmt	unternommen
verliert	verloren
vertritt	vertreten
verweist	verwiesen
wird	geworden
zieht	gezogen
