abhängig	unabhängig
akzeptabel	inakzeptabel
angenehm	unangenehm
beabsichtigt	unbeabsichtigt
bedingt	unbedingt
befriedigend	unbefriedigend
bekannt	unbekannt
beliebt	unbeliebt
bemerkt	unbemerkt
benutzt	unbenutzt
bequem	unbequem
betroffen	unberührt
bewacht	unbewacht
bewusst	unbewusst
bezahlt	unbezahlt
brauchbar	unbrauchbar
eingeschränkt	uneingeschränkt
erfüllbar	unerfüllbar
erwartet	unerwartet
erwünscht	unerwünscht
fassbar	unfassbar
fähig	unfähig
gebacken	ungebacken
gebildet	ungebildet
geeignet	ungeeignet
gehindert	ungehindert
gelöst	ungelöst
gesund	ungesund
gewöhnlich	ungewöhnlich
glaublich	unglaublich
glücklich	unglücklich
kontrolliert	unkontrolliert
realistisch	unrealistisch
rechtmäßig	unrechtmäßig
regelmäßig	unregelmäßig
sicher	unsicher
unterbrochen	ununterbrochen
verfügbar	unverfügbar
vergesslich	unvergesslich
vermeidbar	unvermeidlich
vernünftig	unvernünftig
verschleiert	unverschleiert
verständlich	unverständlich
verändert	unverändert
veröffentlicht	unveröffentlicht
vollendet	unvollendet
voreingenommen	unvoreingenommen
vorhersehbar	unvorhersehbar
zuverlässig	unzuverlässig
üblich	unüblich
