Abend	abendlich
Abenteuer	abenteuerlich
Advent	adventlich
Amt	amtlich
Anfang	anfänglich
Angst	ängstlich
Appetit	appetitlich
Arzt	ärztlich
Bauer	bäuerlich
Beruf	beruflich
Bild	bildlich
Bruder	brüderlich
Dorf	dörflich
Ehre	ehrlich
Ende	endlich
Erstaunt	erstaunlich
Fach	fachlich
Farbe	farblich
Feier	feierlich
Fleisch	fleischlich
Frage	fraglich
Freund	freundlich
Fried	friedlich
Froh	fröhlich
Gebrauch	gebräuchlich
Geschäft	geschäftlich
Gesetz	gesetzlich
Gewöhne	gewöhnlich
Hass	hässlich
Heim	heimlich
Herz	herzlich
Hof	höflich
Jugend	jugendlich
Kind	kindlich
Lacher	lächerlich
Land	ländlich
Leser	leserlich
Mensch	menschlich
Mutter	mütterlich
Nutzt	nützlich
Pein	peinlich
Ruhm	rühmlich
Schreck	schrecklich
Sport	sportlich
Unverstand	unverständlich
Vater	väterlich
Vergnüge	vergnüglich
Verständnis	verständlich
Weihnacht	weihnachtlich
Ärger	ärgerlich
