attraktiv	Attraktivität
bereit	Bereitschaft
bewusst	Bewusstsein
billige	Billigkeit
breit	Breite
deutlich	Deutlichkeit
deutsch	Deutsche
direkt	Direktheit
dünn	Dünne
einzigartig	Einzigartigkeit
ernsthaft	Ernsthaftigkeit
erstaunlich	Erstaunlichkeit
erwachsen	Erwachsene
fest	Festigkeit
fremd	Fremdheit
freundlich	Freundlichkeit
ganz	Ganze
gebrochen	Gebrochenheit
gefährlich	Gefährlichkeit
gerecht	Gerechtigkeit
gleich	Gleichheit
glücklich	Glück
groß	Größe
grün	Grüne
gut	Gute
heilig	Heiligkeit
interessant	Interessantheit
jung	Jugendliche
kreativ	Kreativität
laut	Laute
massiv	Massivität
nützlich	Nützlichkeit
offensichtlich	Offensichtlichkeit
rein	Reinheit
ruhig	Ruhe
scharf	Schärfe
schwach	Schwäche
schön	Schöne
selten	Seltenheit
seltsam	Seltsamkeit
traurig	Traurigkeit
unterscheidbar	Unterscheidbarkeit
verborgen	Verborgenheit
verbunden	Verbundenheit
verwandt	Verwandtschaft
weit	Weite
wettbewerbsfähig	Wettbewerbsfähigkeit
wirksam	Wirksamkeit
zufällig	Zufälligkeit
zumutbar	Zumutbarkeit
