anlaufen	wiederanlaufen
aufbauen	wiederaufbauen
aufflammen	wiederaufflammen
aufführen	wiederaufführen
aufleben	Wiederaufleben
aufnehmen	wiederaufnehmen
aufrufen	wiederaufrufen
ausgeben	wiederausgeben
bekommen	wiederbekommen
beleben	wiederbeleben
besuchen	wiederbesuchen
bringen	wiederbringen
einbauen	wiedereinbauen
einführen	wiedereinführen
eingliedern	wiedereingliedern
einstellen	wiedereinstellen
entdecken	wiederentdecken
entstehen	wiederentstehen
erhalten	wiedererhalten
erkennen	wiedererkennen
erlangen	wiedererlangen
errichten	wiedererrichten
erstarken	wiedererstarken
erstatten	wiedererstatten
erzählen	wiedererzählen
eröffnen	wiedereröffnen
finden	wiederfinden
fordern	wiederfordern
fänden	wiederfänden
geben	wiedergeben
genesen	wiedergenesen
gründen	wiedergründen
grüßen	wiedergrüßen
gutmachen	wiedergutmachen
haben	wiederhaben
herstellen	wiederherstellen
herzustellen	wiederherzustellen
holen	wiederholen
hören	wiederhören
kauen	wiederkauen
kaufen	wiederkaufen
kehren	wiederkehren
kommen	wiederkommen
sehen	wiedersehen
treffen	wiedertreffen
vereinen	wiedervereinen
vereinigen	wiedervereinigen
verheiraten	wiederverheiraten
verwenden	wiederverwenden
verwerten wiederverwerten
