ansprechen	ansprechbar
aufblasen	aufblasbar
auffinden	auffindbar
austauschen	austauschbar
ausziehen	ausziehbar
beobachten	beobachtbar
beschreiben	beschreibbar
bespielen	bespielbar
bezahlen	bezahlbar
brennen	brennbar
danken	dankbar
darstellen	darstellbar
definieren	definierbar
editieren	editierbar
einstellen	einstellbar
erkennen	erkennbar
erklären	erklärbar
erneuern	erneuerbar
erreichen	erreichbar
ersetzen	ersetzbar
erwarten	erwartbar
erweitern	erweiterbar
essen	essbar
fassen	fassbar
fruchten	fruchtbar
genießen	genießbar
haften	haftbar
halten	haltbar
heilen	heilbar
hinterfragen	hinterfragbar
hören	hörbar
identifizieren	identifizierbar
kauen	kaubar
lesen	lesbar
liefern	lieferbar
machen	machbar
publizieren	publizierbar
reparieren	reparierbar
schiffen	schiffbar
schützen	schützbar
sehen	sichtbar
straffen	strafbar
teilen	teilbar
trinken	trinkbar
vermeiden	vermeidbar
vorhersehen	vorhersehbar
warten	wartbar
waschen	waschbar
überschauen	überschaubar
übersetzen	übersetzbar
