absenden	Absender
anbieten	Anbieter
anfangen	Anfänger
anhängen	Anhänger
arbeiten	Arbeiter
backen	Bäcker
benutzen	Benutzer
beobachten	Beobachter
beraten	Berater
besitzen	Besitzer
dichten	Dichter
empfangen	Empfänger
entdecken	Entdecker
entwickeln	Entwickler
erfinden	Erfinder
erlösen	Erlöser
erzählen	Erzähler
essen	Esser
fahren	Fahrer
handeln	Händler
hören	Hörer
kennen	Kenner
lehren	Lehrer
leiten	Leiter
lernen	Lerner
lesen	Leser
mieten	Mieter
nutzen	Nutzer
predigen	Prediger
prüfen	Prüfer
rauben	Räuber
reinigen	Reiniger
reisen	Reiser
richten	Richter
schneiden	Schneider
schreibe	Schreiber
schänden	Schänder
siegen	Sieger
spielen	Spieler
sprechen	Sprecher
tragen	Träger
trinken	Trinker
tun	Täter
verbrauchen	Verbraucher
verlieren	Verlierer
verteidigen	Verteidiger
werben	Werber
zerstören	Zerstörer
zustellen	Zusteller
öffnen	Öffner
