abstrakteren	Abstraktion
addieren	Addition
administrieren	Administration
adoptieren	Adoption
akkumulieren	Akkumulation
animieren	Animation
deklinieren	Deklination
erigieren	Erektion
exekutieren	Exekution
funktionieren	Funktion
gratulieren	Gratulation
informieren	Information
integrieren	Integration
interagieren	Interaktion
kalkulieren	Kalkulation
klassifizieren	Klassifikation
kommunizieren	Kommunikation
kondensieren	Kondensation
konfigurieren	Konfiguration
konjugieren	Konjugation
konsultieren	Konsultation
konzentrieren	Konzentration
kreieren	Kreation
manipulieren	Manipulation
meditieren	Meditation
moderieren	Moderation
multiplizieren	Multiplikation
navigieren	Navigation
operieren	Operation
organisieren	Organisation
penetrieren	Penetration
produzieren	Produktion
promovieren	Promotion
prostituieren	Prostitution
protestieren	Protestation
präsentieren	Präsentation
rationieren	Ration
reagieren	Reaktion
reduzieren	Reduktion
reinkarnieren	Reinkarnation
reorganisieren	Reorganisation
reparieren	Reparation
sanktionieren	Sanktion
sekretieren	Sekretion
stationieren	Station
subtrahieren	Subtraktion
subventionieren	Subvention
transkribieren	Transkription
ventilieren	Ventilation
vibrieren	Vibration
