ableiten	Ableitung
ablösen	Ablösung
ankündigen	Ankündigung
anpassen	Anpassung
aufregen	Aufregung
ausrichten	Ausrichtung
autorisieren	Autorisierung
befreien	Befreiung
begegnen	Begegnung
behandeln	Behandlung
beleuchten	Beleuchtung
beobachten	Beobachtung
berechnen	Berechnung
bestimmen	Bestimmung
bestätigen	Bestätigung
bewerten	Bewertung
bewundern	Bewunderung
charakterisieren	Charakterisierung
einschreiben	Einschreibung
einstellen	Einstellung
entdecken	Entdeckung
enttäuschen	Enttäuschung
entwickeln	Entwicklung
erfahren	Erfahrung
erklären	Erklärung
erkunden	Erkundung
erleuchten	Erleuchtung
ermutigen	Ermutigung
erziehen	Erziehung
fortsetzen	Fortsetzung
globalisieren	Globalisierung
kleiden	Kleidung
kolonisieren	Kolonisierung
kompilieren	Kompilierung
maximieren	Maximierung
modernisieren	Modernisierung
optimieren	Optimierung
prüfen	Prüfung
stabilisieren	Stabilisierung
standardisieren	Standardisierung
unterhalten	Unterhaltung
verbessern	Verbesserung
verpflichten	Verpflichtung
verschieben	Verschiebung
visualisieren	Visualisierung
vorbereiten	Vorbereitung
werben	Werbung
zustimmen	Zustimmung
ändern	Änderung
öffnen	Öffnung
