Abuja	Nigeria
Amman	Jordanien
Ankara	Türkei
Athen	Griechenland
Bagdad	Irak
Bangkok	Thailand
Beirut	Libanon
Belgrad	Serbien
Berlin	Deutschland
Bern	Schweiz
Brüssel	Belgien
Budapest	Ungarn
Bukarest	Rumänien
Canberra	Australien
Conakry	Guinea
Damaskus	Syrien
Dhaka	Bangladesch
Dublin	Irland
Hanoi	Vietnam
Havanna	Kuba
Helsinki	Finnland
Islamabad	Pakistan
Jakarta	Indonesien
Kabul	Afghanistan
Kairo	Ägypten
Kiew	Ukraine
Kingston	Jamaika
Kopenhagen	Dänemark
Lima	Peru
Lissabon	Portugal
London	England/Großbritannien
Madrid	Spanien
Manila	Philippinen
Moskau	Russland
Nairobi	Kenia
Oslo	Norwegen
Ottawa	Kanada
Paris	Frankreich
Peking	China
Rom	Italien
Santiago	Chile
Sofia	Bulgarien
Stockholm	Schweden
Taipeh	Taiwan
Teheran	Iran
Tiflis	Georgien
Tokyo	Japan
Warschau	Polen
Wien	Österreich
Zagreb	Kroatien
