Andorra	Catalan
Argentinien	Spanisch
Australien	Englisch
Bahamas	Englisch
Bangladesch	Bengali/Bangla
Barbados	Englisch
Belize	Englisch
Bolivien	Spanisch
Brasilien	Portugiesisch
Chile	Spanisch
Dänemark	Dänisch/Färöisch/Grönländisch/Deutsch
Ecuador	Spanisch/Quechua
Fidschi	Englisch
Guadeloupe	Französisch
Guam	Englisch/Chamorro
Guatemala	Spanisch
Guyana	Englisch
Haiti	Kreolisch/Französisch
Irak	Arabisch/Kurdisch
Iran	Persisch
Irland	Englisch/Irisch/Gälisch
Israel	Hebräisch/Arabisch
Jamaika	Englisch/Kreolisch
Jordan	Arabisch
Kambodscha	Khmer
Kanada	Englisch/Französisch
Kazakhstan	Kazak/Qazaq/Russisch
Kolumbien	Spanisch
Kosovo	Albanisch/Serbisch
Kuba	Spanisch
Kuwait	Arabisch
Marokko	Berber/Arabisch
Mexiko	Spanisch/Nahuatl
Moldau	Rumänisch/Russisch
Mosambik	Portugiesisch
Nicaragua	Spanisch
Niederlande	Niederländisch/Friesisch
Norwegisch	Norwegisch/Bokmål/Bokmal/Nynorsk
Palästina	Arabisch
Peru	Spanisch
Philippinen	Tagalog/Filipino
Schweiz	Deutsch/Französisch/Italienisch
Syrien	Arabisch
Taiwan	Chinesisch
USA	Englisch
Venezuela	Spanisch
Zypern	Griechisch/Türkisch
Ägypten	Arabisch
Äthiopien	Amharisch
Österreich	Deutsch
