Andersen	Schriftsteller/Dichter/Autor
Aristoteles	Philosoph
Balzac	Schriftsteller/Schriftsteller
Beethoven	Komponist
Caesar	Kaiser/Kommandant/Leiter
Columbus	Explorer
Dante	Dichter
Darwin	Naturforscher/Biologe/Geologe
Depp	Schauspieler/Produzent/Musiker
Descartes	Mathematiker/Philosoph
Dickens	Schriftsteller/Schriftsteller/Kritiker/Autor
Edison	Erfinder/Geschäftsmann
Einstein	Physiker/Wissenschaftler
Euler	Mathematiker/Physiker/Astronom/Logiker/Ingenieur
Goethe	Dichter/Dramatiker/Schriftsteller/Schriftsteller/Autor
Hawking	Physiker/Wissenschaftler
Haydn	Komponist
Hegel	Philosoph
Hitler	Diktator/Politiker/Nazi
Hume	Philosoph/Politiker
Jolie	Schauspielerin/Filmemacherin/Regisseurin/Humanitäre/Aktivistin
Kant	Philosoph
Kepler	Mathematiker/Physiker/Astronom/Astrologe
Konfuzius	Philosoph
Lincoln	Präsident
Locke	Philosoph
Marx	Philosoph/Kommunist
Maxwell	Physiker/Wissenschaftler
Mencius	Philosoph
Michelangelo	Bildhauer/Maler/Architekt/Künstler/Dichter/Ingenieur
Moses	Prophet/Leiter
Mozart	Komponist
Napoleon	Kaiser/Leiter/Politiker/Kommandant
Newton	Wissenschaftler/Mathematiker/Physiker/Philosoph
Pacino	Schauspieler/Regisseur/Filmemacher
Pascal	Mathematiker/Philosoph
Picasso	Maler/Künstler/Bildhauer/Designer
Platon	Philosoph
Raphael	Maler/Künstler/Architekt
Rembrandt	Maler/Radierer/Künstler
Rousseau	Schriftsteller/Autor/Philosoph
Schwarzenegger	Schauspieler/Politiker/Gouverneur
Shakespeare	Dramatiker/Dichter
Spinoza	Philosoph
Stalin	Diktator/Politiker/Leiter/Staatsmann
Strauss	Komponist
Tolstoi	Schriftsteller/Schriftsteller/Philosoph
Truman	Präsident
Wagner	Komponist
Wittgenstein	Philosoph
