Ameise	schwarz/braun/rot
Apfel	rot/orange/gelb/golden
Blaubeere	blau/schwarz
Blumenkohl	weiß/grün/gelb/gelblich
Blut	rot
Bluterguss	blau/lila
Blätter	grün/rot/gelb
Boden	schwarz/braun/dunkel
Brokkoli	grün
Cranberry	rot/lila/pink
Creme	weiß
Frosch	grün/braun/grau
Gras	grün
Gurken	grün
Himmel	blau/grau/grau
Joghurt	weiß/pink
Kaffee	schwarz/braun
Karotte	orange/rot/gelb
Kartoffel	braun
Kirsch	rot/gelb/schwarz
Kohl	grün
Kohle	schwarz
Krähe	schwarz
Kühlschrank	weiß/grau/schwarz
Meer	blau/grün/grau/grau
Milch	weiß
Papier	weiß/Farbe
Petersilie	grün
Pfeffer	schwarz/rot/grün/gelb/orange
Pfingstrose	rot/weiß/pink/lila
Raben	schwarz
Rettich	rot/pink/weiß/grün/schwarz
Rosa	rot/gelb/pink/weiß/blau
Rubin	rot
Salz	weiß
Saphir	blau
Schnee	weiß
Schokolade	weiß/braun/schwarz
Schwan	weiß/schwarz/grau
Sellerie	grün/weiß/braun
Smaragd	grün
Sonnen	gelb/Gold
Spinat	grün
Tafel	schwarz/grün
Tee	schwarz/grün/weiß/rot/braun/gelb
Tomaten	rot
Trauben	schwarz/rot/grün/lila
Wolke	weiß/grau/grau
Zahnpasta	weiß
Zucker	weiß/braun
