Arbeiter	Arbeiterin
Architekt	Architektin
Arzt	Ärztin
Batman	Batwoman
Bildhauer	Bildhauerin
Bruder	Schwester
Bräutigam	Braut
Bäcker	Bäckerin
Dichter	Dichterin
Eber	Sau
Ehemann	Ehefrau
Enkel	Enkelin
Erb	Erbin
Fischer	Fischerin
Fuchs	Füchsin
Geschäftsmann	Geschäftsfrau
Gott	Göttin
Großvater	Großmutter
Hahn	Henne
Held	Heldin
Hengst	Stute
Herr	Herrin/Frau/Fräulein
Herzog	Herzogin
Hund	Hündin
Junge	Mädchen
Kaiser	Kaiserin
Kellner	Kellnerin
Koch	Köchin
König	Königin
Löwe	Löwin
Manager	Managerin
Mann	Frau
Mörder	Mörderin
Neffe	Nichte
Onkel	Tante
Opa	Oma
Papa	Mama/Mutter
Polizist	Polizistin
Prinz	Prinzessin
Schauspieler	Schauspielerin
Schulleiter	Schulleiterin
Sir	Madam
Sohn	Tochter
Stiefvater	Stiefmutter
Stier	Kuh
Superman	Superfrau
Tiger	Tigerin
Valet	Magd/Hausmädchen/Zimmermädchen/Stubenmädchen
Vater	Mutter
Widder	Schaf
