Akrobat	Truppe
Antilope	Herde
Arbeiter	Unternehmen/Personal
Auto	Zug/Prozession/Stau/Verkehrstau
Baum	Holz/Hain/Wald
Bezirk	Bundesland/Staat/Land
Biene	Gesindel/Drift/Kolonie/Stand/Schwarm/Bienenstock/Nest/Cast
Blume	Strauß/Bund
Buch	Buchhaltung/Buchhaltungssystem/Bibliothek/Regal/Sammlung/Buchhaltungsmethode
Buchstaben	Alphabet
Bürger	Staat/Land
Christlicher	Kirche/Gemeinde
Division	Zug/Firma/Geschäft
Ehepartner	Familie/Beziehung/Paar
Elefant	Herde
Fisch	Schule
Foto	Album/Bibliothek/Sammlung
Galaxie	Universum
Gans	Schar
Gemeindemitglied	Kirche/Gemeinde
Juror	Jury
Kalb	Vieh/Herde
Kuh	Herde
Kätzchen	Streu
Land	Staat
Lied	Anthologie/Album/Bibliothek/Sammlung
Löwe	Stolz
Mitglied	Band/Community/Club/Team/Gruppe
Musiker	Orchester/Band
Nomade	Horde
Person	Gesellschaft/Firma/Welt/Partei
Polizist	Polizei
Professor	Fakultät
Professorin	Fakultät
Rinder	Herde
Schaf	Herde
Schiff	Flotte
Schüler	Schule/Klasse
Seite	Notizbuch/Website/Buch
Sekretär	Personal
Senator	Haus/Senat
Soldat	Division/Armee/Einheit/Truppe
Spieler	Orchester/Team/Gruppe
Stern	Galaxie/Sternbild
Strauch	Gebüsch
Sänger	Quartett/Trio/Band/Duo/Chor
Vogel	Schwarm
Wolf	Rudel
Wort	Satz/Text/Absatz
Zuhörer	Publikum
