Auto	Fahrzeug/Kfz/Personenwagen/Gefährt
Baby	Säugling
Betonung	Akzentuierung/Wichtigkeit/Akzent/Bedeutung/Stress
Blume	Blüte
Bösewicht	Schurke/Schlingel
Dame	Frau
Essen	Mahlzeit/Dinner/Bankett
Fahrrad	Rad
Felsen	Stein
Geld	Währung/Zahlungsmittel/Banknoten/Kröten/Moneten/Asche
Hafen	Seehafen
Hieroglyphe	Piktogramm
Hilfe	Unterstützung
Junge	Kerl
Juwel	Stein/Edelstein
Kind	Jugendlicher/Rasierer/Minderjähriger
Kleidung	Kleid
Liste	Auflistung/Aufzählung
Markt	Marktplatz/Basar
Mord	Hinrichtung
Mutter	Mama
Paket	Bündel
Sofa	Couch/Lounge
Stil	Weg/Weise/Modus/Mode
Stoff	Material/Textil
Süßigkeiten	Süßwaren/Dessert
Teil	Bestandteil/Komponente/Komponententeil
Telefon	Smartphone/Handy
Ufer	Küste/Strand
Vater	Papa
Vokabel	Wortbuch/Wörterbuch/Glossar/Lexikon
ehrlich	genial/wahr/aufrichtig/direkt
falsch	unwahr/fehlerhaft/kontrafaktisch/unsolide/fadenscheinig/ungenau
faul	schwachsinnig/arbeitsscheu/träge
gehen	spazieren/wandern/schlendern/trotten
gut	ausgezeichnet/lobenswert/einwandfrei/prima/tadellos
homogene	unveränderlich/uniform
identisch	gleich
intelligent	klug
kalt	eisig/frostig/frisch/kühl/bitterkalt
neu	modern
organisiert	korporativ/konfiguriert/arrangiert/reorganisiert/eingetragen
rational	kohärent/vernünftig/logisch
reparieren	flicken/befestigen/stopfen
sagen	reden/sprechen/artikulieren/bemerken
schnell	rasend/flink/flott/rasch/fix/stürmisch/rapide
schreiben	anfertigen/aufschreiben/abfassen/formulieren/verfassen
treu	ergeben/wahr/zuverlässig
veraltet	überholt
verwirrt	durcheinander/verloren/verblüfft/verwirrt
