Abstieg	Aufstieg
Anfang	Ende/Finale/Letzte/Abschluss/Terminal
Ausgang	Eingang
Einatmen	Ausatmen
Geduld	Ungeduld
Gefälle	Aufstieg/Steigung
Heil	Unheil
Süd	Nord
Südosten	Nordosten/Südwesten
West	Ost
alt	jung
ängstlich	mutig
anterior	posterior
arm	reich
außen	innen/rein
bergauf	bergab/abfallend/fallend
berühmt	unbekannt
beschäftigen	verdrängen/beenden/entlassen/feuern
besetzt	frei
betrunken	nüchtern
billig	teuer
dekrementieren	inkrementieren
dynamisch	unbeweglich/statisch/unveränderlich/still
eingehend	ausgehend
erstes	Ende/Finale/Abschluss/letztes/Terminal
fallen	klettern/steigen
gebildet	ungebildet
groß	klein
gut	schlecht
hoch	runter
innen	raus/außen
intern	außen/extern
nach	früher/vorher
oben	unten
runter	gekeimt/voraus/schlummern/führen/himmelwärts/oben/aufwärts/rauf/auferstanden/wiegen
rückwärts	vorwärts
steigen	absteigend/absteigen/fallen/nieseln/abfallend/abwärts/bergab/regnen/degressiv
sterblich	unsterblich
tauchen	auftauchen
tot	lebendig
unten	oben/höher
unter	über/oben
vergessen	merken/abrufen/zurückrufen
viel	wenig
vorher	nachher/später
vorne	Vorderteil/hinten
vorsichtig	unvorsichtig
vorwärts	rückwärts
wahr	falsch
über	unter
