álbum	álbumes
amigo	amigos
año	años
aplicación	aplicaciones
calle	calles
canción	canciones
carretera	carreteras
ciencia	ciencias
cliente	clientes
coche	coches
consejo	consejos
cosa	cosas
departamento	departamentos
desarrollo	desarrollos
día	días
diferencia	diferencias
dios	dioses
director	directores
ejemplo	ejemplos
estudiante	estudiantes
evento	eventos
gobierno	gobiernos
hecho	hechos
hora	horas
idea	ideas
idioma	idiomas
jugador	jugadores
ley	leyes
mes	meses
miembro	miembros
muerto	muertos
noche	noches
oficina	oficinas
pelota	pelotas
período	períodos
población	poblaciones
problema	problemas
producto	productos
pueblo	pueblos
raqueta	raquetas
recurso	recursos
río	ríos
rol	roles
semana	semanas
sistema	sistemas
sitio	sitios
solución	soluciones
usuario	usuarios
versión	versiones
zona	zonas
