academia	academias
agencia	agencias
autoridad	autoridades
base	bases
biblioteca	bibliotecas
cama	camas
capacidad	capacidades
categoría	categorías
ciclista	ciclistas
ciudad	ciudades
comunidad	comunidades
condado	condados
cuento	cuentos
dado	dados
economía	economías
ejército	ejércitos
empresa	empresas
energía	energías
especie	especies
esposa	esposas
estrategia	estrategias
estructura	estructuras
éxito	éxitos
familia	familias
fórmula	fórmulas
historia	historias
industria	industrias
mayoría	mayorías
mujer	mujeres
niño	niños
ocupación	ocupaciones
oportunidad	oportunidades
país	países
pérdida	pérdidas
política	políticas
propiedad	propiedades
recuerdo	recuerdos
responsabilidad	responsabilidades
secretario	secretarios
serie	series
siglo	siglos
sociedad	sociedades
tarea	tareas
tecnología	tecnologías
teoría	teorías
universidad	universidades
valor	valores
variedad	variedades
vida	vidas
voz	voces
