aburrido	aburrida
acompañado	acompañada
activo	activa
aleatorio	aleatoria
anciano	anciana
asqueroso	asquerosa
atento	atenta
barato	barata
bullicioso	bulliciosa
caducado	caducada
calmo	calma
caro	cara
claro	clara
complicado	complicada
cubierto	cubierta
desafortunado	desafortunada
desgarbado	desgarbada
deshonesto	deshonesta
desordenado	desordenada
duro	dura
educado	educada
estrecho	estrecha
estúpido	estúpida
experto	experta
falso	falsa
grosero	grosera
honesto	honesta
inactivo	inactiva
incómodo	incómoda
inexperto	inexperta
inquieto	inquieta
inseguro	insegura
íntegro	íntegra
limitado	limitada
lindo	linda
marítimo	marítima
negrito	negrita
ocupado	ocupada
ordinario	ordinaria
oscuro	oscura
pasivo	pasiva
precioso	preciosa
raro	rara
rígido	rígida
rubio	rubia
ruidoso	ruidosa
señalado	señalada
tímido	tímida
válido	válida
valioso	valiosa
