admirado	admiradísimo
alegre	alegrísimo
antiguo	antiquísimo
apasionado	apasionadísimo
apropiado	apropiadísimo
arriesgado	arriesgadísimo
barato	baratísimo
caliente	calentísimo/calientísimo
contento	contentísimo
copioso	copiosísimo
costoso	costosísimo
crudo	crudísimo
cruel	cruelísimo
delgado	delgadísimo
denso	densísimo
devoto	devotísimo
difícil	dificilísimo
elaborado	elaboradísimo
enojado	enojadísimo
espinoso	espinosísimo
estupendo	estupendísimo
excelente	excelentísimo
exquisito	exquisitísimo
extraño	extrañísimo
feo	feísimo
feroz	ferocísimo
fijo	fijísimo
frágil	fragilísimo
fuerte	fortísimo/fuertísimo
gentil	gentilísimo
grosero	groserísimo
hermoso	hermosísimo
inteligente	inteligentísimo
largo	larguísimo
limpio	limpísimo
lindo	lindísimo
majo	majísimo
orgulloso	orgullosísimo
pequeño	pequeñísimo
pulido	pulidísimo
puro	purísimo
raro	rarísimo
rico	riquísimo
riguroso	rigurosísimo
robusto	robustísimo
ruidoso	ruidosísimo
sabroso	sabrosísimo
sólido	solidísimo
tranquilo	tranquilísimo
triste	tristísimo
