aceptar	acepta
agregar	agrega
alcanzar	alcanza
aparecer	aparece
aplicar	aplica
aprender	aprende
asegurar	asegura
comprender	comprende
considerar	considera
consistir	consiste
consultar	consulta
contener	contiene
continuar	continúa
crear	crea
creer	cree
decir	dice
desarrollar	desarrolla
describir	describe
disfrutar	disfruta
escuchar	escucha
evitar	evita
existir	existe
explicar	explica
funcionar	funciona
habilitar	habilita
hocicar	hocica
identificar	identifica
implicar	implica
incluir	incluye
mandar	manda
mantener	mantiene
mejorar	mejora
morir	muere
parecer	parece
permanecer	permanece
permitir	permite
preguntar	pregunta
promover	promueve
proteger	protege
proveer	provee
recibir	recibe
recordar	recuerda
reducir	reduce
representar	representa
seguir	sigue
solicitar	solicita
suceder	sucede
sugerir	sugiere
volver	vuelve
vulgarizar	vulgariza
