agregar	agregando
alcanzar	alcanzando
aparecer	apareciendo
aplicar	aplicando
aprender	aprendiendo
asegurar	asegurando
asistir	asistiendo
comprender	comprendiendo
considerar	considerando
contener	conteniendo
continuar	continuando
crear	creando
creer	creyendo
decir	diciendo
desarrollar	desarrollando
disfrutar	disfrutando
ejecutar	ejecutando
encargarse	encargándose
enseñar	enseñando
esperar	esperando
establecer	estableciendo
evitar	evitando
existir	existiendo
fomentar	fomentando
gastar	gastando
identificar	identificando
incluir	incluyendo
involucrar	involucrando
mantener	manteniendo
mejorar	mejorando
operar	operando
parecer	pareciendo
perder	perdiendo
permanecer	permaneciendo
permitir	permitiendo
preguntar	preguntando
prevenir	previniendo
promover	promoviendo
proporcionar	proporcionando
proteger	protegiendo
recibir	recibiendo
recordar	recordando
reducir	reduciendo
referir	refiriendo
representar	representando
seguir	siguiendo
sentarse	sentándose
solicitar	solicitando
suceder	sucediendo
volverse	volviéndose
