agregar	agregado
anunciar	anunciado
aparecer	aparecido
aplicar	aplicado
aprobar	aprobado
asistir	asistido
casar	casado
comprender	comprendido
considerar	considerado
continuar	continuado
convenir	convenido
crear	creado
creer	creído
decidir	decidido
decir	dicho
desarrollar	desarrollado
describir	descrito
descubrir	descubierto
disfrutar	disfrutado
ejecutar	ejecutado
escuchar	escuchado
establecer	establecido
expedir	expedido
fusionar	fusionado
garantizar	garantizado
gastar	gastado
gestionar	gestionado
hocicar	hocicado
identificar	identificado
incluir	incluido
involucrar	involucrado
llegar	llegado
localizar	localizado
optimizar	optimizado
perder	perdido
permanecer	permanecido
permitir	permitido
planificar	planificado
preguntar	preguntado
presentar	presentado
prever	previsto
publicar	publicado
recibir	recibido
reducir	reducido
relacionar	relacionado
reportar	reportado
seguir	seguido
solicitar	solicitado
sustituir	sustituido
volver	vuelto
