agradeciendo	agradece
agregando	agrega
anunciando	anuncia
apareciendo	aparece
aplicando	aplica
aprendiendo	aprende
conduciendo	conduce
considerando	considera
consistiendo	consiste
conteniendo	contiene
continuando	continúa
creando	crea
creyendo	cree
dependiendo	depende
desarrollando	desarrolla
describiendo	describe
descubriendo	descubre
diciendo	dice
disminuyendo	disminuye
ejecutando	ejecuta
enseñando	enseña
entendiendo	entiende
escuchando	escucha
existiendo	existe
explicando	explica
gastando	gasta
girando	gira
habilitando	habilita
implicando	implica
incluyendo	incluye
informando	informa
mejorando	mejora
operando	opera
pareciendo	parece
perdiendo	pierde
permaneciendo	permanece
permitiendo	permite
preguntando	pregunta
promoviendo	promueve
proporcionando	proporciona
publicando	publica
recibiendo	recibe
relatando	relata
representando	representa
requiriendo	requiere
saltando	salta
siguiendo	sigue
sucediendo	sucede
sugiriendo	sugiere
volviendo	vuelve
