agregando	agregado
anunciando	anunciado
apareciendo	aparecido
aplicando	aplicado
asistiendo	asistido
casando	casado
comprendiendo	comprendido
considerando	considerado
consiguiendo	conseguido
conteniendo	contenido
continuando	continuado
conviniendo	convenido
convirtiendo	convertido
creando	creado
decidiendo	decidido
desarrollando	desarrollado
describiendo	descrito
diciendo	dicho
ejecutando	ejecutado
enseñando	enseñado
escuchando	escuchado
estableciendo	establecido
existiendo	existido
expidiendo	expedido
fallando	fallado
gastando	gastado
gestionando	gestionado
incluyendo	incluido
introduciendo	introducido
involucrando	involucrado
mejorando	mejorado
nombrando	nombrado
ofreciendo	ofrecido
operando	operado
perdiendo	perdido
permitiendo	permitido
planificando	planificado
preguntando	preguntado
previendo	previsto
publicando	publicado
reduciendo	reducido
reemplazando	reemplazado
reportando	reportado
representando	representado
restando	restado
siguiendo	seguido
situando	situado
subiendo	subido
uniendo	unido
volviendo	vuelto
