acepta	aceptado
agrega	agregado
anuncia	anunciado
aparece	aparecido
aplica	aplicado
casa	casado
cita	citado
coloca	colocado
considera	considerado
consigue	conseguido
consiste	consistido
contiene	contenido
crea	creado
cree	creído
decide	decidido
desarrolla	desarrollado
describe	descrito
dice	dicho
ejecuta	ejecutado
entiende	entendido
espera	esperado
establece	establecido
expide	expedido
falla	fallado
gasta	gastado
gestiona	gestionado
implica	implicado
incluye	incluido
introduce	introducido
llega	llegado
ofrece	ofrecido
opera	operado
oye	oído
parece	parecido
permanece	permanecido
permite	permitido
pierde	perdido
planifica	planificado
predice	predicho
pregunta	preguntado
publica	publicado
recibe	recibido
reporta	reportado
representa	representado
sigue	seguido
sucede	sucedido
sugiere	sugerido
suma	sumado
sustituye	sustituido
vuelve	vuelto
