ala	alita
amigo	amiguito
árbol	arbolito
barco	barquito
boca	boquita
cabeza	cabecita
cámara	camarita
canal	canalcito
carro	carrito
casa	casita
corbata	corbatita
cura	curita
diente	dientito
dinero	dinerito
diploma	diplomita
elefante	elefantito
esquema	esquemita
fiesta	fiestita
foto	fotito
gato	gatito
hermana	hermanita
hermano	hermanito
jirafa	jirafita
juguete	juguetito
libro	librito
mano	manita
manzana	manzanita
mesa	mesita
moto	motito
niño	niñito
nota	notita
oso	osito
pájaro	pajarito
panza	pancita
papel	papelito
pedazo	pedacito
pelo	pelito
pelota	pelotita
perro	perrito
piedra	piedrita
planeta	planetita
príncipe	principito
puerta	puertita
raíz	raicita
regla	reglita
reloj	relojito
señal	señalita
taza	tacita
tienda	tiendita
ventana	ventanita
