accesible	inaccesible
aceptable	inaceptable
activo	inactivo
adecuado	inadecuado
afortunado	desafortunado
agradable	desagradable
alterado	inalterado
apropiado	inapropiado
audible	inaudible
capaz	incapaz
cierto	incierto
cómodo	incómodo
concluso	inconcluso
condicionado	incondicionado
conectado	desconectado
conocido	desconocido
consciente	inconsciente
creíble	increíble
deseable	indeseable
deseado	indeseado
discreto	indiscreto
disponible	indisponible
editado	inédito
empleado	desempleado
esperado	inesperado
evitable	inevitable
existente	inexistente
feliz	infeliz
fructífero	infructífero
interrumpido	ininterrumpido
legal	ilegal
limitado	ilimitado
lógico	ilógico
maduro	inmaduro
moral	inmoral
negociable	innegociable
olvidable	inolvidable
parcial	imparcial
perdonable	imperdonable
popular	impopular
predecible	impredecible
previsible	imprevisible
razonable	irrazonable
resoluto	irresoluto
respetuoso	irrespetuoso
responsable	irresponsable
salubre	insalubre
satisfactorio	insatisfactorio
solito	insólito
sostenible	insostenible
