activo	activamente
adicional	adicionalmente
agradable	agradablemente
ambiental	ambientalmente
aparente	aparentemente
clínico	clínicamente
consciente	conscientemente
consiguiente	consiguientemente
creativo	creativamente
creciente	crecientemente
crítico	críticamente
cultural	culturalmente
curioso	curiosamente
diferente	diferentemente
digital	digitalmente
efectivo	efectivamente
enorme	enormemente
evidente	evidentemente
extenso	extensamente
federal	federalmente
físico	físicamente
fuerte	fuertemente
general	generalmente
global	globalmente
hermoso	hermosamente
histórico	históricamente
igual	igualmente
inmediato	inmediatamente
internacional	internacionalmente
interno	internamente
legal	legalmente
mental	mentalmente
obvio	obviamente
paciente	pacientemente
político	políticamente
potencial	potencialmente
práctico	prácticamente
previo	previamente
raro	raramente
real	realmente
regional	regionalmente
seguro	seguramente
serio	seriamente
sexual	sexualmente
significativo	significativamente
solo	solamente
típico	típicamente
tradicional	tradicionalmente
virtual	virtualmente
visual	visualmente
