abundante	sobreabundante
actuado	sobreactuado
alimentado	sobrealimentado
calentado	sobrecalentado
calificado	sobrecalificado
cargado	sobrecargado
compensado	sobrecompensado
cualificado	sobrecualificado
demandado	sobredemandado
desarrollado	sobredesarrollado
determinado	sobredeterminado
dicho	sobredicho
dimensionado	sobredimensionado
dorado	sobredorado
dotado	sobredotado
elevado	sobreelevado
entendido	sobreentendido
escrito	sobrescrito
esdrújulo	sobresdrújulo
estimado	sobreestimado
estimulado	sobreestimulado
excitado	sobreexcitado
explotado	sobreexplotado
expuesto	sobreexpuesto
facturado	sobrefacturado
grabado	sobregrabado
humano	sobrehumano
impreso	sobreimpreso
infecto	sobreinfecto
inflado	sobreinflado
llenado	sobrellenado
llevado	sobrellevado
natural	sobrenatural
oxigenado	sobreoxigenado
pagado	sobrepagado
pasado	sobrepasado
poblado	sobrepoblado
protegido	sobreprotegido
puesto	sobrepuesto
regulado	sobrerregulado
representado	sobrerrepresentado
saltado	sobresaltado
saturado	sobresaturado
utilizado	sobreutilizado
valuado	sobrevaluado
vendido	sobrevendido
venido	sobrevenido
virado	sobrevirado
vivido	sobrevivido
volado	sobrevolado
