amplio	amplitud
arrendado	arrendamiento
atractivo	atracción
caliente	calor
casual	casualidad
claro	claridad
compacto	compacidad
competitivo	competitividad
conectado	conexión
consciente	conciencia
contento	contentamiento
conveniente	conveniencia
creativo	creatividad
débil	debilidad
devoto	devoción
directo	dirección
disponible	disponibilidad
distinguido	distinción
dotado	dotación
eficaz	eficacia
enfermo	enfermedad
enorme	enormidad
evidente	evidencia
extenso	extensión
extraño	extrañeza
feliz	felicidad
fijo	fijeza
grave	gravedad
innovado	innovación
inocente	inocencia
inteligente	inteligencia
interesante	interés
justo	justicia
ligero	ligereza
loco	locura
maravilloso	maravilla
monótono	monotonía
peligroso	peligrosidad
pesado	peso
preparado	preparación
puro	pureza
raro	rareza
razonable	razón
salvo	salvación
santo	santidad
simpático	simpatía
triste	tristeza
único	unicidad
útil	utilidad
vasto	vastedad
