activar	reactivar
adquirir	readquirir
ajustar	reajustar
aparecer	reaparecer
aplicar	reaplicar
aprender	reaprender
asegurar	reasegurar
asignar	reasignar
calcular	recalcular
calificar	recalificar
cargar	recargar
compilar	recompilar
comprar	recomprar
conducir	reconducir
conectar	reconectar
configurar	reconfigurar
confirmar	reconfirmar
considerar	reconsiderar
crear	recrear
crecer	recrecer
decorar	redecorar
dedicar	rededicar
definir	redefinir
denominar	redenominar
descubrir	redescubrir
diseñar	rediseñar
distribuir	redistribuir
emerger	reemerger
enviar	reenviar
escribir	reescribir
establecer	restablecer
examinar	reexaminar
generar	regenerar
hacer	rehacer
imaginar	reimaginar
instalar	reinstalar
integrar	reintegrar
interpretar	reinterpretar
introducir	reintroducir
inventar	reinventar
invertir	reinvertir
leer	releer
mandar	remandar
negociar	renegociar
nombrar	renombrar
ordenar	reordenar
organizar	reorganizar
publicar	republicar
transferir	retransferir
valorizar	revalorizar
