acceder	accesible
aceptar	aceptable
aconsejar	aconsejable
adaptar	adaptable
admirar	admirable
adorar	adorable
agradar	agradable
ajustar	ajustable
alcanzar	alcanzable
alterar	alterable
ampliar	ampliable
comprender	comprensible
confiar	confiable
considerar	considerable
contener	contenible
creer	creíble
definir	definible
descargar	descargable
desechar	desechable
detectar	detectable
disfrutar	disfrutable
ejecutar	ejecutable
entregar	entregable
escribir	escribible
evitar	evitable
expandir	expandible
explicar	explicable
exportar	exportable
ganar	ganable
habitar	habitable
identificar	identificable
imaginar	imaginable
imprimir	imprimible
inflar	inflable
manejar	manejable
mantener	mantenible
mejorar	mejorable
modificar	modificable
negociar	negociable
observar	observable
optimizar	optimizable
preferir	preferible
proteger	protegible
recomendar	recomendable
reconocer	reconocible
reemplazar	reemplazable
renovar	renovable
representar	representable
sostener	sostenible
variar	variable
