abonarse	abonado
acosar	acosador
afinar	afinador
anunciar	anunciador
asesinar	asesino
boxear	boxeador
comer	comedor
componer	compositor
consignar	consignador
consumir	consumidor
contender	contendiente
coreografiar	coreógrafo
creer	creyente
defender	defensor
delinear	delineador
desarrollar	desarrollador
descubrir	descubridor
destruir	destructor
determinar	determinador
diseñar	diseñador
editar	editor
ejecutar	ejecutante
enseñar	enseñante
entrenar	entrenador
escribir	escritor
escuchar	escuchador
examinar	examinador
explorar	explorador
falsificar	falsificador
fumar	fumador
hablar	hablador
hipnotizar	hipnotizador
humidificar	humidificador
iniciar	iniciador
liberar	liberador
luchar	luchador
manipular	manipulador
observar	observador
organizar	organizador
perder	perdedor
perseguir	perseguidor
predicar	predicador
presentar	presentador
promover	promotor
proveer	proveedor
publicar	publicador
recibir	receptor
regular	regulador
silenciar	silenciador
traducir	traductor
