acusar	acusación
admirar	admiración
aspirar	aspiración
autorizar	autorización
caracterizar	caracterización
civilizar	civilización
colonizar	colonización
compilar	compilación
condensar	condensación
configurar	configuración
consultar	consultación
continuar	continuación
contraindicar	contraindicación
declarar	declaración
degradar	degradación
depilar	depilación
derivar	derivación
desmilitarizar	desmilitarización
determinar	determinación
especializarse	especialización
estabilizar	estabilización
examinar	examinación
expirar	expiración
explorar	exploración
globalizar	globalización
iluminar	iluminación
imaginar	imaginación
improvisar	improvisación
inspirar	inspiración
instalar	instalación
maximizar	maximización
minimizar	minimización
modernizar	modernización
negar	negación
normalizar	normalización
obligar	obligación
observar	observación
ocupar	ocupación
optimizar	optimización
organizar	organización
personalizar	personalización
preparar	preparación
privar	privación
privatizar	privatización
realizar	realización
renovar	renovación
reorganizar	reorganización
restaurar	restauración
utilizar	utilización
visualizar	visualización
