abreviar	abreviamiento
absorber	absorbimiento
aburrir	aburrimiento
acantonar	acantonamiento
ajustar	ajustamiento
comandar	comandamiento
completar	completamiento
comportar	comportamiento
condicionar	condicionamiento
cumplir	cumplimiento
debilitar	debilitamiento
degradar	degradamiento
delinear	delineamiento
desplazar	desplazamiento
elevar	elevamiento
embalsamar	embalsamamiento
encapsular	encapsulamiento
entretener	entretenimiento
establecer	establecimiento
financiar	financiamiento
funcionar	funcionamiento
licenciar	licenciamiento
mandar	mandamiento
mejorar	mejoramiento
modelar	modelamiento
ofrecer	ofrecimiento
perfeccionar	perfeccionamiento
posicionar	posicionamiento
potenciar	potenciamiento
rebosar	rebosamiento
recargar	recargamiento
recibir	recibimiento
reclutar	reclutamiento
reconocer	reconocimiento
reforzar	reforzamiento
refrescar	refrescamiento
rejuvenecer	rejuvenecimiento
remodelar	remodelamiento
resurgir	resurgimiento
revelar	revelamiento
revestir	revestimiento
salvar	salvamiento
seccionar	seccionamiento
secuenciar	secuenciamiento
sofocar	sofocamiento
sostener	sostenimiento
soterrar	soterramiento
taponar	taponamiento
tratar	tratamiento
truncar	truncamiento
