Abuya	Nigeria
Amán	Jordania
Ankara	Turquía
Atenas	Grecia
Bagdad	Irak
Bangkok	Tailandia
Beirut	Líbano
Belgrado	Serbia
Berlín	Alemania
Berna	Suiza
Bruselas	Bélgica
Bucarest	Rumania
Budapest	Hungría
Cairo	Egipto
Canberra	Australia
Conakri	Guinea
Copenhague	Dinamarca
Daca	Bangladés
Damasco	Siria
Dublín	Irlanda
Estocolmo	Suecia
Habana	Cuba
Hanói	Vietnam
Helsinki	Finlandia
Islamabad	Pakistán
Kabul	Afganistán
Kiev	Ucrania
Kingston	Jamaica
Lima	Perú
Lisboa	Portugal
Londres	Inglaterra
Madrid	España
Manila	Filipinas
Moscú	Rusia
Nairobi	Kenia
Oslo	Noruega
Ottawa	Canadá
París	Francia
Pekín	China
Roma	Italia
Santiago	Chile
Sofía	Bulgaria
Taipéi	Taiwán
Tbilisi	Georgia
Teherán	Irán
Tokio	Japón
Varsovia	Polonia
Viena	Austria
Yakarta	Indonesia
Zagreb	Croacia
