Andorra	catalán
Argentina	español
Australia	inglés
Austria	alemán
Bahamas	inglés
Bangladés	bengalí
Barbados	inglés
Belice	inglés
Bolivia	español
Brasil	portugués
Camboya	jemer
Canadá	francés/inglés
Chile	español
Chipre	griego/turco
Colombia	español
Cuba	español
Dinamarca	danés/feroés/groenlandés/alemán
Ecuador	español/quechua
Egipto	árabe
Etiopía	amárico
Filipinas	tagalo/filipino
Fiyi	inglés
Guadalupe	francés
Guam	inglés/chamorro
Guatemala	español
Guayana	inglés
Haití	criollo/francés
Holanda	holandés/frisón
Irak	árabe/kurdo
Irán	persa
Irlanda	inglés/irlandés/gaélico
Israel	árabe/hebreo
Jamaica	inglés/criollo
Jordania	árabe
Kazajistán	kazajo/ruso
Kosovo	albanés/serbio
Kuwait	árabe
Marruecos	bereber/árabe
México	español/náhuatl
Moldavia	moldavo/rumano
Mozambique	portugués
Nicaragua	español
Noruega	noruego/bokmål/nynorsk
Palestina	árabe
Perú	español
Rusia	ruso
Siria	árabe
Suiza	alemán/francés/italiano
Taiwán	chino
Venezuela	español
