Andersen	escritor/poeta/autor
Aristóteles	filósofo
Balzac	escritor
Beethoven	compositor
César	emperador/jefe/comandante
Colón	explorador
Confucio	filósofo
Dante	poeta
Darwin	naturalista/biólogo/geólogo
Depp	actor/productor/músico
Descartes	matemático/filósofo
Dickens	escritor/productor/crítico/autor
Edison	inventor/emprendedor
Einstein	físico/científico
Espinoza	filósofo
Euler	matemático/físico/astrónomo/lógico/ingeniero
Goethe	poeta/dramaturgo/escritor/productor/autor
Hawking	físico/científico
Haydn	compositor
Hegel	filósofo
Hitler	dictador/político
Hume	filósofo/político
Jolie	actriz/escritora/directora/humanitaria/activista
Kant	filósofo
Kepler	matemático/físico/astrónomo/astrólogo
Lincoln	presidente
Locke	filósofo
Marx	filósofo
Maxwell	físico/científico
Mencio	filósofo
Moisés	profeta/líder
Mozart	compositor
Napoleón	emperador/jefe/político/comandante
Newton	científico/matemático/físico/filósofo
Obama	presidente
Pacino	actor/director
Pascal	matemático/filósofo
Picasso	pintor/artista/escultor/diseñador
Platón	filósofo
Rafael	pintor/artista/arquitecto
Rembrandt	pintor/escritor/artista
Rousseau	escritor/autor/filósofo
Schwarzenegger	actor/político
Shakespeare	dramaturgo/poeta
Stalin	dictador/político/líder
Strauss	compositor
Tolstói	escritor/productor/filósofo
Truman	presidente
Wagner	compositor
Wittgenstein	filósofo/lógico
