águila	aguilucho
ánsar	ansarino
asno	pollino
ballena	ballenato
besugo	pancho
búho	pollo
burro	pollino
caballo	potro/potrillo
cabra	chivo/chivato/caloyo
carnero	cordero
cebra	potrillo
cerdo	lechón
ciervo	cervato/cervatillo
cigüeña	cigoñino
codorniz	guarnigón
conejo	gazapo
cuervo	corvato
delfín	delfinato
elefante	bebé
gallina	pollito
gato	gatito
gorrión	gurriato
guanaco	chulengo
insecto	larva
jabalí	jabato
jirafa	ternero
león	leoncillo
liebre	lebrato
lobo	lobato/lobezno
mariposa	oruga
mono	monito
mosca	cresa
oca	cría
oso	osezno
oveja	caloyo/cordero/lechazo
paloma	pichón
pantera	cachorro
pato	patito
pavo	pavipollo/pavezno
perdiz	perdigón
perro	cachorro
pez	alevín
rana	renacuajo
rata	sorce
ratón	sorce
salmón	esguín
toro	ternero/becerro/novillo
vaca	ternero/ternera/becerra/becerro
víbora	viborezno
zorro	cachorro
