abeja	susurra
alondra	trisa
becerro	berrea
borrego	bala
búho	ulula/chuchea
burro	rebuzna
caballo	relincha/resopla
cabra	bala
canario	gorjea
carnero	bala
chancho	gruñe
ciervo	rebrama
cigüeña	crotora
conejo	chilla
cotorra	habla
coyote	aúlla
cuervo	grazna/crascita/croscita
elefante	barrita
gallina	cacarea
gallo	canta
ganso	grazna
gato	maúlla/maya/mía/miaga/bufa
golondrina	trisa
jabalí	arrúa
jilguero	gorjea
langosta	estrida
león	ruge
liebre	chilla
lobo	aúlla
loro	habla
mosquito	zumba
mula	rebuzna
oveja	bala
pájaro	trina
paloma	zurea/arrulla
pantera	himpla
pato	parpa
pavo	gluglutea
perdiz	cuchichea/ajea
perro	ladra/aúlla/arrufa/gruñe/gañe/regañe/late/regaña
pollito	pía
rana	croa
ratón	musita
ruiseñor	gorjea
serpiente	silba
toro	muge/brama
tórtola	gime
urraca	grazna
yegua	relincha
zorra	tautea/chilla
