abeja	colmena
araña	telaraña
ardilla	nido
arenque	mar
avispa	nido
avispón	nido
babuino	árbol/jaula
ballena	mar
bovino	establo
caballo	establo
caribú	tundra
castor	río
cebra	sabana
chimpancé	árbol/jaula
cigüeña	nido
cocodrilo	río
conejo	madriguera
cucaracha	nido
cuervo	nido
delfín	mar
escorpión	nido
foca	acuario/mar
garza	nido
gorila	árbol/jaula
grillo	nido
hámster	jaula
hipopótamo	río/lago
hormiga	hormiguero
insecto	nido
león	sabana
lirón	nido
lobo	madriguera
langosta	nido
marmota	madriguera
mono	árbol/jaula
mosca	nido
murciélago	cueva
ñu	sabana
oso	madriguera
pájaro	nido
pato	estanque/nido
perro	perrera
pez	mar/lago/río/acuario
rata	madriguera
ratón	madriguera
serpiente	nido
termita	hormiguero
tigre	sabana
trucha	río/lago
zorro	madriguera
