apio	verde/blanco/marrón
arándano	rojo/púrpura/azul/negro
árbol	verde/marrón
azúcar	blanco/marrón
banana	amarilla
brócoli	verde
café	marrón
carbón	negro
cereza	roja
césped	verde
chocolate	blanco/marrón/negro
cielo	azul
cisne	blanco/negro/gris
coliflor	blanco/verde
crema	amarilla
cuervo	negro
esmeralda	verde
espinacas	verdes
hoja	verde/roja/amarilla/marrón
hormiga	negra/marrón/roja
leche	blanca
manzana	roja/amarilla/verde
mar	azul
moretón	azul/púrpura
nieve	blanca
nube	blanca/gris
oro	amarillo
papel	blanco
patata	marrón/amarilla
peonía	roja/blanca/rosa/púrpura
pepino	verde
perejil	verde
pimienta	negra/roja/verde
piña	amarilla
pizarra	blanca/negra
rábano	rojo/rosa/blanco/verde/negro
rana	verde/marrón/gris
repollo	verde
rosa	roja/amarilla/blanca/azul
rubí	rojo
sal	blanca/rosa
sangre	roja
sol	rojo/amarillo
suelo	marrón/negro
té	negro/verde/blanco/rojo/marrón/amarillo
tomate	rojo
uva	negra/roja/verde
yogur	blanco
zafiro	azul
zanahoria	naranja
