abuelo	abuela
actor	actriz
amigo	amiga
arquitecto	arquitecta
asesino	asesina
caballo	yegua
camarero	camarera
chico	chica
ciervo	cierva
cocinero	cocinera
costurero	costurera
dios	diosa
director	directora
doctor	doctora
duque	duquesa
emperador	emperatriz
enfermero	enfermera
escultor	escultora
esposo	esposa
gallo	gallina
hermano	hermana
héroe	heroína
hijo	hija
hombre	mujer
león	leona
nieto	nieta
niño	niña
novio	novia
orador	oradora
padrastro	madrastra
padre	madre
panadero	panadera
papá	mamá
peluquero	peluquera
perro	perra
pescador	pescadora
pintor	pintora
pistolero	pistolera
poeta	poetisa
pollo	gallina
presentador	presentadora
presidente	presidenta
príncipe	princesa
profesor	profesora
rey	reina
secretario	secretaria
señor	señora
tío	tía
toro	vaca
vendedor	vendedora
