abeja	insecto/invertebrado/criatura/bestia/animal/insecto/artrópodo/himenóptero
águila	pájaro/vertebrado/criatura/bestia/animal
allosaurus	dinosaurio/reptil
anaconda	serpiente/reptil
ardilla	roedor/vertebrado/criatura/bestia/animal/placentaria/mamífero
búfalo	vaca/vertebrado/criatura/ungulado/bestia/animal/placentaria/rumiante/mamífero
búho	pájaro/vertebrado/criatura/bestia/animal
buitre	pájaro/vertebrado/criatura/bestia/animal
cabra	buey/mamífero/vertebrado/animal/placentario/mamífero
castor	roedor/vertebrado/criatura/bestia/animal/organismo/fauna/placentaria/cordado/mamífero
chacal	canino/vertebrado/criatura/bestia/animal/placentaria/carnívoro/mamífero
chimpancé	primate/vertebrado/criatura/bestia/animal/placentaria/homínido/mamífero
chinchilla	roedor/vertebrado/criatura/bestia/animal/placentaria/mamífero
ciervo	mamífero/vertebrado/criatura/animal/placentaria/rumiante
cobra	serpiente/reptil/elápido
codorniz	pájaro/vertebrado/criatura/bestia/animal/gallináceo
coyote	canino/vertebrado/criatura/bestia/animal/placentaria/carnívoro/mamífero
cucaracha	insecto/invertebrado/criatura/bestia/animal/artrópodo
estegosaurio	dinosaurio/reptil
ganso	pájaro/vertebrado/ave/criatura/bestia/animal
gato	animal/placentaria/carnívoro/felidae/félido/felino/mamífero
gibón	primate/vertebrado/criatura/bestia/animal/placentaria/mamífero
gorila	primate/vertebrado/criatura/bestia/animal/placentaria/homínido/mamífero
guepardo	gato/animal/placentaria/carnívoro/felidae/félido/felino/mamífero
halcón	pájaro/vertebrado/criatura/bestia/animal
hormiga	insecto/invertebrado/criatura/bestia/animal/artrópodo
humano	primate/vertebrado/criatura/bestia/animal/placentaria/mamífero
jaguar	gato/animal/placentaria/carnívoro/felidae/félido/felino/mamífero
león	gato/animal/placentaria/carnívoro/felidae/félido/felino/mamífero
leopardo	gato/animal/placentaria/carnívoro/felidae/félido/felino/mamífero
lince	gato/animal/placentaria/carnívoro/felidae/félido/felino/mamífero
lobo	canino/vertebrado/criatura/bestia/animal/placentaria/carnívoro/mamífero
mariposa	insecto/criatura/bestia/animal/artrópodo
orangután	primate/vertebrado/criatura/bestia/animal/placentaria/mamífero
paloma	pájaro/vertebrado/criatura/bestia/animal
pato	pájaro/vertebrado/criatura/bestia/animal
pavo	pájaro/vertebrado/criatura/bestia/animal/gallináceo
perro	canino/vertebrado/criatura/bestia/animal/placentaria/carnívoro/mamífero
pollo	pájaro/vertebrado/aves/criatura/bestia/animal/gallináceo
poni	mamífero/caballo/vertebrado/criatura/bestia/animal/placentaria/equina/équido/craneado
puma	gato/animal/placentaria/carnívoro/felidae/félido/felino/mamífero
ratón	roedor/vertebrado/criatura/bestia/animal/placentaria/mamífero
serpiente	reptil
tigre	gato/animal/fauna/placentaria/carnívoro/felidae/félido/felino/mamífero/craneado
tiranosaurio	dinosaurio/reptil
triceratops	dinosaurio/reptil
vaca	mamífero/animal/vertebrado/criatura/ungulado/bestia/animal/placentaria/rumiante
velociraptor	dinosaurio/reptil
víbora	serpiente/reptil
zorro	canino/vertebrado/criatura/bestia/animal/placentaria/carnívoro/mamífero
