acera	pasarela/camino/objeto/entidad
brazalete	banda/tira/artículo/objeto/entidad
brioche	panadería/comida/entidad
broche	joyería/adorno/decoración/artículo/objeto
camisa	ropa/producto/artefacto/objeto
camiseta	ropa/producto/artefacto/objeto
cepillo	artículo/objeto/entidad
chaqueta	ropa/abrigo/indumentaria/producto/bien/artefacto/objeto
ciruela	fruta/producto/comida/materia/entidad/objeto
collar	joyería/adorno/decoración/artículo/objeto/entidad
cuaderno	materia/entidad/objeto
desodorante	artículo/objeto/entidad
diario	entidad/revista/artículo/objeto
escritorio	mueble/mesa/artefacto/objeto/entidad
estante	mueble/mobiliario/artículo/objeto/entidad
exprimidor	herramienta/objeto/artefacto
falda	ropa/indumentaria/producto/bien/artefacto/objeto
foto	imagen/representación/creación/artículo/objeto/entidad
gasolina	combustible/hidrocarburo/sustancia/material/compuesto/componente/constituyente
grapadora	dispositivo/máquina/artículo/objeto/entidad
hamburguesa	sándwich/merienda/plato/alimentación/sustento/comida/nutriente/sustancia/materia/entidad/carne
jarra	artículo/objeto/contenedor
jeans	pantalón/ropa/indumentaria/producto/bien/artefacto/objeto
lavadora	dispositivo/máquina/objeto/producto/bien/artefacto
lavavajillas	dispositivo/máquina/objeto/producto/bien/artefacto
limón	fruta/producto/comida/materia/entidad/objeto
loción	artículo/objeto/entidad
manzana	fruta/producto/comida/materia/entidad/objeto
máscara	maquillaje/cosmético/objeto/entidad
melocotón	fruta/producto/comida/materia/entidad/objeto
mezclador	herramienta/artefacto/objeto/entidad
ordenador	dispositivo/máquina/artículo/objeto/entidad
pantalones	material/artefacto/objeto/entidad/ropa/indumentaria/producto/bien
pastel	postre/comida/sustento/sustancia/materia/entidad/dulce
pendiente	joyería/adorno/decoración/artículo/objeto/entidad
perfume	artículo/objeto/entidad
piña	fruta/producto/comida/materia/entidad/objeto
plátano	fruta/producto/comida/materia/entidad/objeto
pomelo	fruta/producto/comida/materia/entidad/objeto
pulsera	joyería/banda/tira/artículo/objeto/entidad/decoración/adorno
refrigerador	producto/bien/artículo/objeto/entidad
sillón	silla/mueble/decoración/artículo/objeto/entidad
sofá	mueble/mobiliario/artículo/objeto/entidad
suéter	ropa/indumentaria/producto/bien/artefacto/objeto
tarro	contenedor/artículo/objeto/entidad
taza	vajilla/artículo/objeto/entidad/contenedor/vaso
televisión	dispositivo/máquina/receptor/artículo/objeto/entidad
tina	contenedor/recipiente/artefacto/objeto/entidad
tostadora	entidad/objeto/producto/bien/artefacto
traje	ropa/indumentaria/producto/bien/artefacto/objeto
