agrio	limón/naranja/lima/mandarina
árbol	abeto/acacia/arce/bonsái/baobab/alcanfor/castaño/cedro/pino/piñón/roble
arma	rifle/bomba/pistola/arco/flecha/dardo/lanzallamas/cuchillo/misil/bala/lanza/espada/tomahawk/hacha
automóvil	limusina/descapotable/ambulancia/autobús/taxi/patrulla/jeep/coche/sedán
barco	ferry/arca/balsa/góndola/barcaza/remolcador/yate/kayak
bebida	zumo/naranjada/limonada/cola/leche/infusión/café/capuchino/té/mate/tisana/cerveza/vino/champán/sidra/amargo/coctelería
bolso	mochila/bolsa/carpeta
botella	termo/matraz
cama	litera/cuna/sofá/dosel/hamaca
cámara	polaroid/webcam
canción	himno/balada/réquiem
caramelo	piruleta/bombón/regaliz/malvavisco/mazapán/turrón/praliné
carnívoro	águila/foca/gaviota/tiburón/cocodrilo/harpía/tigre/coyote/león/zorro
color	blanco/negro/azul/verde/rojo/amarillo/naranja/púrpura/magenta/rosa/cian/índigo/marrón/gris
combustible	gasolina/gas/metano/hidrógeno
contenedor	bolsa/monedero/cartera/estuche/caja/sobre/botella/envase/macetero/taza/recipiente/cápsula/cesta
cubiertos	cuchillo/tenedor/cuchara/cucharita
deporte	básquet/fútbol/tenis
día	lunes/martes/miércoles/jueves/viernes/sábado/domingo
electrodoméstico	aspiradora/horno/nevera/radio/televisión/secadora/lavadora/lavavajillas/congelador/licuadora/ventilador
emoción	ira/rabia/ansiedad/miedo/temor/odio/alegría/amor/furia/locura/indignación/preocupación/confusión/nerviosismo/incomodidad/satisfacción/felicidad/infelicidad/consternación/histeria/pánico/terror/pavor/timidez/horror/desdén/hostilidad/enemistad/enfermedad/maldad/misantropía/misogamia/misoginia/euforia/exuberancia/entusiasmo/amabilidad/devoción/afecto/adoración/agravación/desilusión/frustración/tortura/tristeza/pena/suspenso/anticipación/desconfianza/inseguridad/agresión/resentimiento/venganza/triunfo/iluminación/vacilación/duelo/envidia/avaricia
enfermedad	artritis/artrosis/aterosclerosis/cefalitis/dermatitis/diabetes/fiebre/gastritis/hipertensión/meningitis/osteoporosis/esquizofrenia/escoliosis/influenza/cáncer
especia	pimienta/comino/cardamomo/canela/cilantro/eneldo/hinojo/incienso/ajo/jengibre/rábano/jalapeño/enebro/regaliz/mostaza/cebolla/pimentón/azafrán/sal/sésamo/anís/tabasco/tamarindo/cúrcuma
felino	león/tigre/leopardo/jaguar/guepardo/puma/lince/gato
ferrocarril	monorraíl/metro
flor	anémona/azalea/ciclamen/hibisco/iris/margarita/lavanda/narciso/hortensia/peonía/rosa/tulipán
fruta	albaricoque/sandía/plátano/cereza/higo/fresa/kiwi/granada/manzana/arándano/mora/pera/melocotón/ciruela
guitarra	ukelele/arpa
herbívoro	caballo/elefante/oveja/cabra/jirafa/rinoceronte/canguro/koala/tortuga
iglesia	capilla/abadía/basílica/catedral/cúpula
jarra	vaso/copa/grial
joya	diamante/rubí/perla/esmeralda/zafiro/pulsera/pendiente/gema/collar/anillo/broche
juguete	muñeca/pelota/mecedora/frisbi/caleidoscopio/cometa/lego/honda/peluche/oso/tren/arma/yoyo
libro	álbum/revista/boceto/cuaderno
mes	enero/febrero/marzo/abril/mayo/junio/julio/agosto/septiembre/octubre/noviembre/diciembre
metal	oro/plata/bronce/estaño
nube	condensación/cumulonimbo
ordenador	computador/tableta/teléfono/supercomputadora/iphone/ipad
papelería	lápiz/corrector/marcador/agenda/adhesivo/tijera/cortador
película	animación/aventura/acción/biográfica/comedia/documental/drama/porno/fantasía/horror/musical/thriller/western
pintura	acuarela/icono/paisaje/desnudo/óleo/fresco/grafiti
poesía	haiku/balada/elegía/poema/ópera/soneto/verso/rima
postre	tarta/mousse/budín/tiramisú/helado/chupetín/sorbete
religión	budismo/hinduismo/cristianismo/judaísmo
sentido	olfato/vista/oído/gusto/tacto
temporada	otoño/primavera/verano/invierno
verdura	espárrago/brócoli/alcachofa/zanahoria/coliflor/colina/pepino/hongos/aceite/cebolla/ensalada/berenjena/aceituna/pimienta/tomate/calabacín
vestido	camisa/pantalón/falda
videojuego	simulador/deportivo/estrategia/puzzle
zapatos	zapatillas/botas/mocasines/sandalias/tacones
