acero	hierro/perlita/carbono/cementita/ferrita
agua	oxígeno/hidrógeno/h2o
atmósfera	gas/oxígeno/hidrógeno/nitrógeno/ozono
bandera	tela/papel
barba	cabello
bolso	cuero/tela/plástico
botas	cuero/lona
botella	vidrio/plástico
bronce	cobre/estaño
cable	metal/cobre
caja	cartón/estaño
carámbano	hielo/agua
caramelo	azúcar/turrón/chocolate/gelatina/melaza/jarabe/miel/fruta/nuez
casa	ladrillo/hormigón/madera/arcilla
centésimo	metal/aleación/bronce/níquel/zinc/cobre/estaño
chocolate	cacao
cóctel	alcohol/zumo/agua
cuchara	aluminio/madera/acero
cuenco	vidrio/porcelana/aluminio/madera/acero/plástico/arcilla
cuerpo	carne/hueso
diamante	carbón
dinero	papel/metal/plata/oro/hierro/cobre/estaño
escritorio	madera/metal/acero
espejo	vidrio/bronce
glaciar	hielo/agua/oxígeno/hidrógeno/h2o
hielo	agua/oxígeno/hidrógeno/h2o
hormigón	silicio/cemento/agua/arena
lente	vidrio/plástico
mar	agua
mermelada	fruta/azúcar
mesa	madera/metal/plástico
nieve	agua/oxígeno/hidrógeno/copo/hielo
nube	vapor/agua
océano	agua
pan	harina/levadura
pantalones	tejido
pared	hormigón/ladrillo/piedra/roca/madera/cartón/arcilla/barro
pastelería	harina/huevo/mantequilla/relleno
peluca	cabello
picaporte	metal/acero/bronce/madera
píldora	medicina/droga
plástico	polímero/petróleo/gas/carbón
playa	arena/silicio/roca/guijarro
prado	césped
ropa	tela/cuero
techo	teja/baldosa/madera/metal
tortilla	huevo/leche/queso
vaso	vidrio/plástico/papel
vino	uva/blanco/tinto
yogur	leche
