abeja	enjambre/colmena
acróbata	circo
antílope	manada
árbol	bosque
ave	bandada
barco	flota
becerro	ganado
buey	manada
cabra	rebaño
canción	álbum/colección
cantante	coro/grupo/dúo/trío/cuarteto
cerdo	piara
ciudadano	país/estado/ciudad
condado	país/estado
cristiano	congregación/iglesia/parroquia
división	empresa
elefante	manada
empleado	personal
espectador	público
estrella	constelación/galaxia
estudiante	clase/escuela
feligrés	parroquia
flor	ramo
foto	álbum/colección
galaxia	universo
ganso	rebaño
hormiga	hormiguero
isla	archipiélago
juez	jurado
jugador	equipo/grupo
león	manada
letra	alfabeto
libro	biblioteca/estante/colección
lobo	manada
miembro	club/equipo/grupo/banda/comunidad
músico	orquesta/banda
nave	flota
oveja	rebaño
página	libro/cuaderno/sitio
pájaro	rebaño
palabra	párrafo/oración/texto
perro	jauría
persona	empresa/fiesta/mundo
pez	banco
pino	pinar
pirata	tripulación
senador	senado
soldado	ejército/división/tropa
turista	grupo
vaca	manada
