academia	colegio/universidad/instituto
apartamento	baño/cocina/despensa/ático
árbol	raíz/tronco/corteza/hoja/rama/fruto/copa/flor
autobús	asiento/conductor/ventana/techo
automóvil	motor/reposabrazos/reposacabezas/suspensión/gasolina/bocina/puerta/asiento/ventana/maletero/pedal/acelerador/embrague/freno/cinturón/diesel/gasóleo/radiador/luz/airbag/faro/respaldo/guardabarros/engranaje/capó/espejo
barco	proa/popa/palo/timón
bicicleta	timón/llanta/pedal/asiento
bit	kilobit/megabit/gigabit
byte	bit
caballo	melena/crin/pata/grupa/cruz
cara	ojo/nariz/boca/mentón
castillo	torre/puerta/prisión/foso
cepillo	cerda/mango/empuñadura
ciervo	cuerno/cruz
cuerpo	pecho/hombro/culo/diafragma/ingle/deltoides/pectoral/glúteo/estómago/tórax/esternón/muslo/espalda/seno/teta/ombligo/vientre/axila/mejilla/cabeza/intestino/cadera/abdomen/escápula/arteria/aorta/vena/músculo/hueso
día	hora/mañana/tarde/nanosegundo/mediodía/femtosegundo/minuto/microsegundo/medianoche/segundo/noche/picosegundo/milisegundo
dólar	centésimo
familia	madre/padre/hijo/abuelo/abuela
flor	pétalo/hoja/estambre/pistilo/corola/sépalo
gato	piel/pata/ojo/espalda/garra/cola/diente
gramo	miligramo/quilate/microgramo/decigramo
guitarra	cuerda/puente/plectro
iglesia	altar/coro/sacristía/transecto/ábside/santuario/pasillo/capilla/presbiterio
joyería	perla/piedra/gema/metal/oro/plata/platino
lingüística	fonética/fonología/morfología/sintaxis/semántica/pragmática/gramática/sociolingüística/glotología
litro	mililitro/centilitro/decilitro
mano	pulgar/índice/medio/anular/meñique/uña/nudillo
matemática	aritmética/álgebra/geometría/topología/análisis/probabilidad/estadística/trigonometría
metro	decímetro/centímetro/milímetro
montaña	pie/valle/ladera/cima
ortografía	puntuación
pájaro	pluma/plumaje/ala/pico
pastel	tarta/relleno/fruta/manzana/baya
peine	dientes/mango
película	escena/subtítulo/episodio/secuencia
piano	teclado/sonido/pedal/tecla
pierna	cadera/muslo/rodilla/pantorrilla/tobillo
pistola	disparador/cargador/visor/cartucho/eyector
poesía	verso/prosodia/rima
prisión	guardia/policía
pub	barra
puerta	cerradura/umbral/perno/llave
puerto	dique/muelle/trasbordador
radio	receptor/sintonizador/demodulador/transmisor/sensor/receptor/amplificador/inalámbrico
silla	asiento/reposabrazos/reposacabezas/respaldo/pata
teléfono	receptor/cable/pantalla
tonelada	kilogramo/kg/miligramo/microgramo/decigramo/nanogramo/decagramo
útero	placenta/endometrio
ventana	panel/vidrio/alféizar/carcasa
vestido	cremallera/corsé/escote
