aburrido	molesto
amar	adorar/idolatrar
bailando	girando
bocadillo	comida
caliente	bochornoso/tórrido
cansado	agotado/drenado
cena	fiesta/banquete
comer	nutrir/devorar
confuso	perdido/desorientado/desesperado
contento	extático
contrario	adverso/desagradable
creativo	ingenioso/inventivo/innovador/original
desarrollar	desenrollar/desplegar/extender/progresar/crecer/florecer/nacer
desgraciado	trágico/doloroso/severo/pobre/horrible/desafortunado/desastroso
disgusto	odio/desprecio/desdén
doctor	cirujano/sanador
dolor	tormento/tortura/agonía
dormitar	dormir
ejemplo	pretexto
enojado	burbujeante
explosión	detonación/deflagración
fe	fanatismo/celo
fuerte	potente/excelente
hablar	delirar
hogar	castillo/fortaleza/casa
hora	tiempo/período
infeliz	miserable
interesante	excitante/hilarante/estimulante/intrigante/provocativo
invitación	exhortación/llamada/propuesta
lago	mar/océano
llorar	gritar
llovizna	lluvia/inundación
malo	atroz/detestable/terrible/doloroso/indescriptible
mar	océano
mojado	empapado/húmedo/saturado/humedecido
mono	gorila
necesario	importante/esencial/vital
niña	chica
placer	amor/pasión
poni	caballo
preguntar	suplicar/rezar/insistir
pronto	inmediatamente
resfriado	neumonía
risilla	reír
sabroso	delicioso/suculento
siesta	dormir
sueño	pesadilla/visión/alucinación/utopía
temeroso	aterrorizado/petrificado
triste	deprimido/desesperado/desanimado/abatido/melancólico
zapatilla	chanclas/pantufla
