agujero	hueco
asesinato	ejecución/homicidio
automóvil	coche
avión	aeroplano
ayuda	asistencia
bicicleta	bici
borracho	ebrio
componer	marcar
confuso	confundido/perdido
demoler	destruir/desmantelar
desgarrar	rasgar/rajar
enemigo	adversario/rival/oponente
énfasis	importancia/esfuerzo/significado
estilo	manera
frecuente	espeso/habitual
homogéneo	uniforme/invariable
honesto	sincero/ingenuo/verdadero/franco
idéntico	mismo/indistinguible
incorrecto	inexacto/falso
inteligente	astuto
irritable	susceptible
jefe	líder
jeroglífico	pictograma
leal	verdadero/confiable
lista	enumeración
madre	mamá
mercado	bazar
monumento	memorial
niño	infante
novio	compañero
nuevo	moderno/reciente
obsoleto	vetusto
organizado	configurado
padre	papá
paño	tela/textil
paquete	caja
parte	componente/constituyente
perezoso	indolente
perjudicar	dañar/afectar/lastimar
proyecto	plan/plano
racional	lógico/coherente/razonable
retroceder	replegarse
roca	piedra
señora	dama/mujer
sofá	sillón
teléfono	móvil/celular
toma	enchufe
vestido	ropa
villano	sinvergüenza
vocabulario	léxico/diccionario/glosario
