abundante	pobre/raro/flaco/tacaño/inadecuado
amplio	estrecho/delgado
bajo	arriba/larguirucho/estatuario/alto
barato	caro/querido/precioso
blanco	negro/oscuro
brillante	pálido/incoloro/opaco/neutro/blanqueado/descolorido/lavado/oscuro/canoso
caliente	frío/frígido
calificado	incompetente
capaz	incapaz/incompetente
cerca	distante/remoto
claro	oscuro
cocido	crudo
coloreado	incoloro/opaco/neutro/pálido/blanco/blanqueado/descolorido/oscuro
complaciente	indispuesto
completo	vacío
común	raro/infrecuente
consciente	inconsciente/indiferente/insensible/ignorante
contento	triste/pensativo/trágico/tragicómico/desafortunado/angustioso/lamentable
decidido	vacilante/incierto/inconcluso/irresoluto
difícil	fácil
dulce	ácido/amargo/agrio
energético	letárgico/aturdido/apático/lento
estricto	amplio
familiar	desconocido/desprevenido
furioso	calmado/manso/suave
gaseoso	líquido/sólido
generoso	tacaño/ahorrativo
gordo	delgado/flaco/anoréxico/demacrado/esquelético/encogido/seco/ligero
grande	pequeño/atómico/subatómico/nano/minúsculo/gnómico/infinitesimal/microscópico/micro
hermoso	malo/desfigurado/grotesco/monstruoso/feo/vergonzoso
inesperado	previsto/sospechado
interesante	aburrido/molesto/narcótico/opiáceo/prosaico
introvertido	extrovertido/sociable
irracional	lógico/razonable/creíble
joven	viejo/centenario/senil/emérito/octogenario
largo	corto/abreviado/truncado
lento	rápido
limpio	sucio/impuro/maltratado/vulgar/graso/malo/desgastado/manchado
normal	alterado/absurdo/desviado/inusual/anormal/irregular/único/antinatural
organizado	desorganizado/descoordinado
paciente	impaciente/intolerante/nervioso
pálido	bronceado
peligroso	seguro/inofensivo
rico	pobre/empobrecido/necesitado
ruidoso	silencioso/mudo
sabroso	insípido/soso
saludable	loco/monstruo/neutral
seco	mojado/rociado/pantanoso/fangoso/blando/húmedo/acuoso
sencillo	difícil/complicado
sincero	hipócrita/falso/deshonesto/deshonroso
