abajo	arriba
acostarse	levantarse
adelante	atrás
afirmar	negar
alzar	bajar
amigo	enemigo
asumir	rechazar
avaro	generoso
blanco	negro
borracho	sobrio
casarse	divorciarse/separarse
claro	oscuro
comenzar	terminar
defender	atacar
delante	detrás
derecha	izquierda
descansado	agotado
descenso	ascenso
después	antes
dinámico	estático
disminución	aumento
económico	caro/oneroso/costoso
enfermo	sano
entrada	salida
entrar	salir
exterior	interior
frecuente	infrecuente
frontal	trasero
inhalar	exhalar
inicial	final
inicio	fin
interno	externo
límpido	opaco
marcado	dudoso
microscópico	macroscópico
mortal	inmortal
muerto	vivo
natural	artificial
norte	sur
ocupado	libre
oeste	este
olvidar	recordar
primero	último
retroceso	avance
sucio	limpio
sudeste	sudoeste/noroeste
sumergirse	emerger
superior	inferior
útil	superfluo/innecesario/inútil
verdadero	falso/incorrecto
